t,node 1 (Volt),node 2 (Volt),node 0 (Volt),V(R1) (Volt),V(W1) (Volt),V(V1) (Volt),V(C1) (Volt),I(R1) (Amp),I(W1) (Amp),I(V1) (Amp),I(C1) (Amp)
0.128000,2.500000,-1.380463,-2.500000,3.880463,2.500000,2.500000,1.119537,0.000388,-0.000388,-0.000388,0.000388
0.130000,2.500000,-1.365003,-2.500000,3.865003,2.500000,2.500000,1.134997,0.000387,-0.000387,-0.000387,0.000387
0.132000,2.500000,-1.349605,-2.500000,3.849605,2.500000,2.500000,1.150395,0.000385,-0.000385,-0.000385,0.000385
0.134000,2.500000,-1.334268,-2.500000,3.834268,2.500000,2.500000,1.165732,0.000383,-0.000383,-0.000383,0.000383
0.136000,2.500000,-1.318992,-2.500000,3.818992,2.500000,2.500000,1.181008,0.000382,-0.000382,-0.000382,0.000382
0.138000,2.500000,-1.303777,-2.500000,3.803777,2.500000,2.500000,1.196223,0.000380,-0.000380,-0.000380,0.000380
0.140000,2.500000,-1.288622,-2.500000,3.788622,2.500000,2.500000,1.211378,0.000379,-0.000379,-0.000379,0.000379
0.142000,2.500000,-1.273528,-2.500000,3.773528,2.500000,2.500000,1.226472,0.000377,-0.000377,-0.000377,0.000377
0.144000,2.500000,-1.258494,-2.500000,3.758494,2.500000,2.500000,1.241506,0.000376,-0.000376,-0.000376,0.000376
0.146000,2.500000,-1.243520,-2.500000,3.743520,2.500000,2.500000,1.256480,0.000374,-0.000374,-0.000374,0.000374
0.148000,2.500000,-1.228605,-2.500000,3.728605,2.500000,2.500000,1.271395,0.000373,-0.000373,-0.000373,0.000373
0.150000,2.500000,-1.213750,-2.500000,3.713750,2.500000,2.500000,1.286250,0.000371,-0.000371,-0.000371,0.000371
0.152000,2.500000,-1.198955,-2.500000,3.698955,2.500000,2.500000,1.301045,0.000370,-0.000370,-0.000370,0.000370
0.154000,2.500000,-1.184218,-2.500000,3.684218,2.500000,2.500000,1.315782,0.000368,-0.000368,-0.000368,0.000368
0.156000,2.500000,-1.169540,-2.500000,3.669540,2.500000,2.500000,1.330460,0.000367,-0.000367,-0.000367,0.000367
0.158000,2.500000,-1.154920,-2.500000,3.654920,2.500000,2.500000,1.345080,0.000365,-0.000365,-0.000365,0.000365
0.160000,2.500000,-1.140358,-2.500000,3.640358,2.500000,2.500000,1.359642,0.000364,-0.000364,-0.000364,0.000364
0.162000,2.500000,-1.125855,-2.500000,3.625855,2.500000,2.500000,1.374145,0.000363,-0.000363,-0.000363,0.000363
0.164000,2.500000,-1.111409,-2.500000,3.611409,2.500000,2.500000,1.388591,0.000361,-0.000361,-0.000361,0.000361
0.166000,2.500000,-1.097021,-2.500000,3.597021,2.500000,2.500000,1.402979,0.000360,-0.000360,-0.000360,0.000360
0.168000,2.500000,-1.082691,-2.500000,3.582691,2.500000,2.500000,1.417309,0.000358,-0.000358,-0.000358,0.000358
0.170000,2.500000,-1.068417,-2.500000,3.568417,2.500000,2.500000,1.431583,0.000357,-0.000357,-0.000357,0.000357
0.172000,2.500000,-1.054200,-2.500000,3.554200,2.500000,2.500000,1.445800,0.000355,-0.000355,-0.000355,0.000355
0.174000,2.500000,-1.040040,-2.500000,3.540040,2.500000,2.500000,1.459960,0.000354,-0.000354,-0.000354,0.000354
0.176000,2.500000,-1.025936,-2.500000,3.525936,2.500000,2.500000,1.474064,0.000353,-0.000353,-0.000353,0.000353
0.178000,2.500000,-1.011889,-2.500000,3.511889,2.500000,2.500000,1.488111,0.000351,-0.000351,-0.000351,0.000351
0.180000,2.500000,-0.997897,-2.500000,3.497897,2.500000,2.500000,1.502103,0.000350,-0.000350,-0.000350,0.000350
0.182000,2.500000,-0.983961,-2.500000,3.483961,2.500000,2.500000,1.516039,0.000348,-0.000348,-0.000348,0.000348
0.184000,2.500000,-0.970081,-2.500000,3.470081,2.500000,2.500000,1.529919,0.000347,-0.000347,-0.000347,0.000347
0.186000,2.500000,-0.956256,-2.500000,3.456256,2.500000,2.500000,1.543744,0.000346,-0.000346,-0.000346,0.000346
0.188000,2.500000,-0.942486,-2.500000,3.442486,2.500000,2.500000,1.557514,0.000344,-0.000344,-0.000344,0.000344
0.190000,2.500000,-0.928771,-2.500000,3.428771,2.500000,2.500000,1.571229,0.000343,-0.000343,-0.000343,0.000343
0.192000,2.500000,-0.915110,-2.500000,3.415110,2.500000,2.500000,1.584890,0.000342,-0.000342,-0.000342,0.000342
0.194000,2.500000,-0.901504,-2.500000,3.401504,2.500000,2.500000,1.598496,0.000340,-0.000340,-0.000340,0.000340
0.196000,2.500000,-0.887953,-2.500000,3.387953,2.500000,2.500000,1.612047,0.000339,-0.000339,-0.000339,0.000339
0.198000,2.500000,-0.874455,-2.500000,3.374455,2.500000,2.500000,1.625545,0.000337,-0.000337,-0.000337,0.000337
0.200000,2.500000,-0.861011,-2.500000,3.361011,2.500000,2.500000,1.638989,0.000336,-0.000336,-0.000336,0.000336
0.202000,2.500000,-0.847620,-2.500000,3.347620,2.500000,2.500000,1.652380,0.000335,-0.000335,-0.000335,0.000335
0.204000,2.500000,-0.834283,-2.500000,3.334283,2.500000,2.500000,1.665717,0.000333,-0.000333,-0.000333,0.000333
0.206000,2.500000,-0.820999,-2.500000,3.320999,2.500000,2.500000,1.679001,0.000332,-0.000332,-0.000332,0.000332
0.208000,2.500000,-0.807768,-2.500000,3.307768,2.500000,2.500000,1.692232,0.000331,-0.000331,-0.000331,0.000331
0.210000,2.500000,-0.794590,-2.500000,3.294590,2.500000,2.500000,1.705410,0.000329,-0.000329,-0.000329,0.000329
0.212000,2.500000,-0.781464,-2.500000,3.281464,2.500000,2.500000,1.718536,0.000328,-0.000328,-0.000328,0.000328
0.214000,2.500000,-0.768390,-2.500000,3.268390,2.500000,2.500000,1.731610,0.000327,-0.000327,-0.000327,0.000327
0.216000,2.500000,-0.755369,-2.500000,3.255369,2.500000,2.500000,1.744631,0.000326,-0.000326,-0.000326,0.000326
0.218000,2.500000,-0.742399,-2.500000,3.242399,2.500000,2.500000,1.757601,0.000324,-0.000324,-0.000324,0.000324
0.220000,2.500000,-0.729481,-2.500000,3.229481,2.500000,2.500000,1.770519,0.000323,-0.000323,-0.000323,0.000323
0.222000,2.500000,-0.716615,-2.500000,3.216615,2.500000,2.500000,1.783385,0.000322,-0.000322,-0.000322,0.000322
0.224000,2.500000,-0.703800,-2.500000,3.203800,2.500000,2.500000,1.796200,0.000320,-0.000320,-0.000320,0.000320
0.226000,2.500000,-0.691035,-2.500000,3.191035,2.500000,2.500000,1.808965,0.000319,-0.000319,-0.000319,0.000319
